,자치구,행정동,점수,순위
208,관악구,대학동,-0.4139435355793936,209
209,양천구,신월4동,-0.4215946589760761,210
210,성북구,월곡1동,-0.42316516428160883,211
211,서대문구,북가좌1동,-0.4233819741747168,212
212,동대문구,이문2동,-0.428968771536164,213
213,은평구,응암2동,-0.42976486388075563,214
214,마포구,상암동,-0.440160948905975,215
215,구로구,구로3동,-0.4559127931128498,216
216,관악구,신림동,-0.45817258371302644,217
217,강서구,발산1동,-0.47800026753249797,218
218,서대문구,충현동,-0.4794479047693514,219
219,동작구,사당5동,-0.49679804985465914,220
220,동작구,신대방2동,-0.5016708683815311,221
221,관악구,난향동,-0.5071879738511789,222
222,관악구,청림동,-0.5128327555890705,223
223,영등포구,문래동,-0.5157126135693858,224
224,성북구,길음1동,-0.5509077307615913,225
225,강동구,성내1동,-0.5535509473915655,226
226,노원구,상계10동,-0.5627722984411464,227
227,중랑구,면목5동,-0.5648821369498805,228
228,성북구,보문동,-0.5694505546464419,229
229,성북구,돈암2동,-0.5778975473333682,230
230,영등포구,당산2동,-0.5813025118198026,231
231,마포구,신수동,-0.5967266409212678,232
232,구로구,신도림동,-0.6008736657217986,233
233,마포구,서교동,-0.6146451572068261,234
234,은평구,수색동,-0.6250541778720846,235
235,구로구,가리봉동,-0.6253830856450466,236
236,강동구,암사2동,-0.6263648411173203,237
237,동작구,대방동,-0.6636203079584775,238
238,강동구,상일2동,-0.6920531446622905,239
239,금천구,가산동,-0.7003693317807469,240
240,강동구,암사3동,-0.7013052872236737,241
241,동대문구,휘경1동,-0.7014980342167917,242
242,강동구,상일1동,-0.7035994138273597,243
243,성북구,동선동,-0.7065952648087197,244
244,관악구,낙성대동,-0.7281524886573771,245
245,강동구,고덕2동,-0.7393657142647146,246
246,강서구,등촌1동,-0.7473967221337322,247
247,양천구,목5동,-0.7553003012701719,248
248,강동구,둔촌1동,-0.7558134095921382,249
249,양천구,목4동,-0.7863381143970072,250
250,동대문구,회기동,-0.795395882530688,251
251,노원구,상계8동,-0.8049213291828962,252
252,양천구,신정1동,-0.8197783374544646,253
253,강서구,염창동,-0.8343714447214393,254
254,성북구,장위3동,-0.8493612532720317,255
255,영등포구,양평1동,-0.8569390819965448,256
256,구로구,구로1동,-0.875028481604448,257
257,영등포구,신길7동,-0.8984541579151432,258
258,강동구,명일2동,-0.902722502902344,259
259,서대문구,신촌동,-0.912600421371793,260
260,강서구,가양1동,-0.9231491821647096,261
261,강동구,고덕1동,-0.9270503931666773,262
262,양천구,목1동,-0.9419651967143562,263
263,성북구,길음2동,-0.951875553159591,264
